# Language: Chinese

# This file contains the strings displayed during the game in the current language.
# Each line represents a string, representing by its key and then its value.
# The key and the value are separated by one or several tabulation characters.
# The key cannot contain whitespaces and cannot be changed. Only the value has to be translated.
# This file must be encoded in UTF-8.

# The strings having a key with "caption" are displayed
# in the caption text area of the pause menu. They can have one or two lines
# (separated by the '$' character) and a line should never exceed 20 characters.
# For all other strings, the maximum length is indicated in the comments below.

# Map submenu
map.caption.world_map             世界地图
map.caption.dungeon_name_1        森林土牢
map.caption.dungeon_name_2        岩石洞窟
map.caption.dungeon_name_3        木精巢穴
map.caption.dungeon_name_4        Beaumont的宫殿
map.caption.dungeon_name_5        古城堡
map.caption.dungeon_name_6        Inferno的迷宫
map.caption.dungeon_name_7        水晶神庙
map.caption.dungeon_name_8        岩峰土牢
map.caption.dungeon_name_9        记忆神殿
map.caption.dungeon_name_10       天空之塔

# Quest status submenu
quest_status.caption.rupee_bag_1    钱包
quest_status.caption.rupee_bag_2    大钱包
quest_status.caption.rupee_bag_3    超大钱包
quest_status.caption.bomb_bag_1     炸弹包
quest_status.caption.bomb_bag_2     大炸弹包
quest_status.caption.bomb_bag_3     超大炸弹包
quest_status.caption.quiver_1       箭袋
quest_status.caption.quiver_2       大箭袋
quest_status.caption.quiver_3       超大箭袋
quest_status.caption.world_map      世界地图
quest_status.caption.pieces_of_heart    心之碎片
quest_status.caption.tunic_1        绿色信件
quest_status.caption.tunic_2        蓝色信件
quest_status.caption.tunic_3        红色信件
quest_status.caption.sword_1        勇气之剑
quest_status.caption.sword_2        海拉尔之剑
quest_status.caption.sword_3        英雄之剑
quest_status.caption.sword_4        主宰之剑
quest_status.caption.shield_1       护盾
quest_status.caption.shield_2       火之护盾
quest_status.caption.shield_3       镜之护盾

# Inventory submenu
inventory.caption.item.feather.1             羽毛
inventory.caption.item.bombs_counter.1       炸弹
inventory.caption.item.bow.1                 弓
inventory.caption.item.bow.2                 弓 & 箭
inventory.caption.item.boomerang.1           回旋镖
inventory.caption.item.boomerang.2           超级回旋镖
inventory.caption.item.lamp.1                油灯
inventory.caption.item.hookshot.1            飞爪
inventory.caption.item.bottle_1.1            魔瓶$(空)
inventory.caption.item.bottle_1.2            魔瓶$(水)
inventory.caption.item.bottle_1.3            魔瓶$(红药水)
inventory.caption.item.bottle_1.4            魔瓶$(绿药水)
inventory.caption.item.bottle_1.5            魔瓶$(蓝药水)
inventory.caption.item.bottle_1.6            魔瓶$(精灵)

inventory.caption.item.pegasus_shoes.1       天马之靴
inventory.caption.item.mystic_mirror.1       神秘的镜子
inventory.caption.item.cane_of_somaria.1     索马利亚之杖
inventory.caption.item.apples_counter.1      苹果
inventory.caption.item.pains_au_chocolat_counter.1    巧克力面包
inventory.caption.item.croissants_counter.1  羊角面包
inventory.caption.item.bottle_2.1            魔瓶$(空)
inventory.caption.item.bottle_2.2            魔瓶$(水)
inventory.caption.item.bottle_2.3            魔瓶$(红药水)
inventory.caption.item.bottle_2.4            魔瓶$(绿药水)
